X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
1.323.417;5.355.667;3;0;0;0
716.386;5.125.716;3;0;0;0
1.245.918;5.070.694;3;0;0;0
1.431.422;5.178.402;3;0;0;0
1.240.564;5.135.152;3;0;0;0
700.156;5.146.500;3;0;0;0
993.914;5.155.631;3;0;0;0
883.774;5.308.283;3;0;0;0
1.012.257;5.431.986;3;0;0;0
806.167;5.224.833;3;0;0;0
925.917;4.883.111;3;0;0;0
697.501;5.124.806;3;0;0;0
864.319;5.011.689;3;0;0;0
902.765;4.823.730;3;0;0;0
819.750;4.885.583;3;0;0;0
1.240.557;5.133.167;3;0;0;0
826.529;5.000.556;3;0;0;0
811.322;5.352.817;3;0;0;0
973.198;5.236.948;3;0;0;0
1.341.454;5.255.360;3;0;0;0
1.345.056;5.252.250;3;0;0;0
884.279;4.894.611;3;0;0;0
883.346;4.983.334;3;0;0;0
1.214.473;4.853.639;3;0;0;0
784.472;4.799.028;3;0;0;0
819.302;5.314.355;3;0;0;0
852.861;5.203.000;3;0;0;0
972.834;5.237.424;3;0;0;0
926.944;4.884.750;3;0;0;0
943.407;4.894.464;3;0;0;0
1.025.063;5.151.567;3;0;0;0
1.230.355;5.131.432;3;0;0;0
973.478;5.238.016;3;0;0;0
994.862;5.215.500;3;0;0;0
918.362;4.767.333;3;0;0;0
869.501;4.889.083;3;0;0;0
865.362;4.959.250;3;0;0;0
921.672;4.867.642;3;0;0;0
1.237.066;5.136.121;3;0;0;0
805.340;5.226.722;3;0;0;0
1.290.807;5.083.306;3;0;0;0
878.072;5.001.766;3;0;0;0
759.611;5.032.528;3;0;0;0
1.143.400;4.874.392;3;0;0;0
915.046;4.873.049;3;0;0;0
925.333;4.882.694;3;0;0;0
1.143.926;4.875.849;3;0;0;0
612.461;5.078.566;3;0;0;0
1.338.640;5.249.000;3;0;0;0
930.446;4.873.535;3;0;0;0
1.021.110;5.160.968;3;0;0;0
1.012.458;5.357.112;3;0;0;0
693.300;5.092.096;3;0;0;0
996.133;4.882.322;3;0;0;0
885.890;5.007.500;3;0;0;0
873.140;5.011.889;3;0;0;0
860.918;5.304.917;3;0;0;0
918.862;4.888.889;3;0;0;0
927.167;4.882.000;3;0;0;0
763.807;5.190.250;3;0;0;0
993.888;5.155.656;3;0;0;0
1.292.445;5.084.528;3;0;0;0
1.066.436;5.387.549;3;0;0;0
1.159.394;5.094.066;3;0;0;0
1.239.445;5.134.620;3;0;0;0
864.307;4.985.361;3;0;0;0
859.785;5.199.599;3;0;0;0
714.973;5.124.944;3;0;0;0
832.796;5.069.991;3;0;0;0
1.107.750;4.780.250;3;0;0;0
913.092;4.997.213;3;0;0;0
916.342;4.768.032;3;0;0;0
994.194;5.215.500;3;0;0;0
1.100.395;5.100.227;3;0;0;0
721.272;5.123.561;3;0;0;0
868.444;4.940.583;3;0;0;0
879.035;5.308.598;3;0;0;0
922.557;4.916.806;3;0;0;0
882.396;5.307.810;3;0;0;0
855.334;5.202.222;3;0;0;0
1.497.528;5.114.917;3;0;0;0
886.369;5.307.134;3;0;0;0
915.063;4.872.984;3;0;0;0
869.568;5.001.653;3;0;0;0
978.765;4.879.965;3;0;0;0
